taxon	sequenceID	species	association	lineage	full_name	isolate	sampled_host_sci_name	pubmed_id
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485258	OF485258	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485263	OF485263	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OM451154	OM451154	-	He et al	DependoA	Adeno-associated virus	HeB-T1	Myocastor coypus	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/ON755348	ON755348	-	Nambiar et al	DependoA	Adeno-associated virus	AAVrh90_FL	Macaca mulatta	35906801
alignment/AL_DependoA/member/ncbi-nuccore-aav/ON755355	ON755355	-	Nambiar et al	DependoA	Adeno-associated virus	AAVrh93_FL	Macaca mulatta	35906801
alignment/AL_DependoA/member/ncbi-nuccore-aav/ON755362	ON755362	-	Nambiar et al	DependoA	Adeno-associated virus	AAVrh96_FL	Macaca mulatta	35906801
alignment/AL_DependoA/member/ncbi-nuccore-aav/ON755364	ON755364	-	Nambiar et al	DependoA	Adeno-associated virus	AAVrh97_FL	Macaca mulatta	35906801
alignment/AL_DependoA/member/ncbi-nuccore-aav/ON755366	ON755366	-	Nambiar et al	DependoA	Adeno-associated virus	AAVrh98_FL	Macaca mulatta	35906801
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE008384	PE008384	-	CHILDREN'S HOSPITAL INC	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100580	PE100580	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100598	PE100598	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100601	PE100601	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100604	PE100604	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100605	PE100605	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100606	PE100606	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100607	PE100607	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100610	PE100610	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100611	PE100611	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100630	PE100630	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100631	PE100631	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100632	PE100632	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
